TransactionID,CustomerID,Amount,TransactionDate,Location
T1001,C001,250,2026-06-01,USA
T1002,C002,1200,2026-06-02,Spain
T1003,C003,50,2026-06-03,China
T1004,C004,5000,2026-06-04,Nigeria
T1005,C005,300,2026-06-05,UAE
T1006,C001,10000,2026-06-06,Russia
T1007,C002,75,2026-06-07,Spain
T1008,C003,20000,2026-06-08,USA
T1009,C003,6691,2026-06-06,China
T1010,C013,4772,2026-06-07,Australia
T1011,C004,9955,2026-06-08,UK
T1012,C010,1279,2026-06-09,Japan
T1013,C017,6185,2026-06-10,South Africa
T1014,C012,8760,2026-06-11,Australia
T1015,C013,1905,2026-06-12,Australia
T1016,C016,4740,2026-06-13,Brazil
T1017,C001,1346,2026-06-14,USA
T1018,C013,506,2026-06-15,Australia
T1019,C004,4052,2026-06-16,UK
T1020,C007,9879,2026-06-17,Germany
T1021,C008,4705,2026-06-18,Canada
T1022,C013,2368,2026-06-19,Australia
T1023,C019,1612,2026-06-20,Germany
T1024,C013,2382,2026-06-21,Australia
T1025,C008,9499,2026-06-22,Canada
T1026,C022,251,2026-06-23,Australia
T1027,C005,5011,2026-06-24,UAE
T1028,C022,7315,2026-06-25,Australia
T1029,C021,8101,2026-06-26,Germany
T1030,C018,6466,2026-06-27,France
T1031,C012,2243,2026-06-28,Australia
T1032,C003,48,2026-06-29,China
T1033,C025,1295,2026-06-30,Canada
T1034,C001,9776,2026-07-01,USA
T1035,C007,3013,2026-07-02,Germany
T1036,C009,1393,2026-07-03,Brazil
T1037,C017,1610,2026-07-04,South Africa
T1038,C021,4162,2026-07-05,Germany
T1039,C020,6774,2026-06-06,Australia
T1040,C013,1152,2026-06-07,Australia
T1041,C016,3014,2026-06-08,Brazil
T1042,C015,6351,2026-06-09,South Africa
T1043,C005,6115,2026-06-10,UAE
T1044,C018,6600,2026-06-11,France
T1045,C014,338,2026-06-12,USA
T1046,C018,2243,2026-06-13,France
T1047,C002,7754,2026-06-14,Spain
T1048,C004,7437,2026-06-15,UK
T1049,C023,5080,2026-06-16,Brazil
T1050,C016,5170,2026-06-17,Brazil
T1051,C008,6555,2026-06-18,Canada
T1052,C011,6166,2026-06-19,Australia
T1053,C019,709,2026-06-20,Germany
T1054,C010,3849,2026-06-21,Japan
T1055,C017,7319,2026-06-22,South Africa
T1056,C022,5339,2026-06-23,Australia
T1057,C005,3536,2026-06-24,UAE
T1058,C008,8452,2026-06-25,Canada
T1059,C015,8200,2026-06-26,South Africa
T1060,C023,7793,2026-06-27,Brazil
T1061,C019,4817,2026-06-28,Germany
T1062,C007,1411,2026-06-29,Germany
T1063,C020,619,2026-06-30,Australia
T1064,C005,5811,2026-07-01,UAE
T1065,C018,7961,2026-07-02,France
T1066,C005,7103,2026-07-03,UAE
T1067,C004,1992,2026-07-04,UK
T1068,C011,4715,2026-07-05,Australia
T1069,C019,9299,2026-06-06,Germany
T1070,C019,7950,2026-06-07,Germany
T1071,C007,8658,2026-06-08,Germany
T1072,C011,8566,2026-06-09,Australia
T1073,C007,1693,2026-06-10,Germany
T1074,C017,9739,2026-06-11,South Africa
T1075,C024,1102,2026-06-12,Australia
T1076,C014,4647,2026-06-13,USA
T1077,C002,3163,2026-06-14,Spain
T1078,C006,5551,2026-06-15,France
T1079,C008,9737,2026-06-16,Canada
T1080,C003,3026,2026-06-17,China
T1081,C009,2581,2026-06-18,Brazil
T1082,C015,5891,2026-06-19,South Africa
T1083,C005,824,2026-06-20,UAE
T1084,C022,7563,2026-06-21,Australia
T1085,C002,5590,2026-06-22,Spain
T1086,C010,5972,2026-06-23,Japan
T1087,C015,7233,2026-06-24,South Africa
T1088,C020,1591,2026-06-25,Australia
T1089,C009,237,2026-06-26,Brazil
T1090,C002,4873,2026-06-27,Spain
T1091,C022,2125,2026-06-28,Australia
T1092,C024,5413,2026-06-29,Australia
T1093,C015,8541,2026-06-30,South Africa
T1094,C013,1808,2026-07-01,Australia
T1095,C009,4048,2026-07-02,Brazil
T1096,C016,6598,2026-07-03,Brazil
T1097,C013,7243,2026-07-04,Australia
T1098,C005,8272,2026-07-05,UAE
T1099,C023,2819,2026-06-06,Brazil
T1100,C006,4216,2026-06-07,France
T1101,C021,611,2026-06-08,Germany
T1102,C002,7681,2026-06-09,Spain
T1103,C018,582,2026-06-10,France
T1104,C022,987,2026-06-11,Australia
T1105,C011,3834,2026-06-12,Australia
T1106,C019,214,2026-06-13,Germany
T1107,C024,7601,2026-06-14,Australia
T1108,C012,8118,2026-06-15,Australia
